question,option,answer
"Languages evolve differences because different groups of people independently develop different words and different pronunciations over the course of time. But the question remains why those diverged languages don¡¯t merge again when formerly separated people spread out and re-contact each other at speech boundaries. For instance, at the modern boundary between Germany and Poland, there are Polish villages near German villages, but the villagers still speak a local variety of either German or of Polish, rather than a mix of German and Polish. Why is that so? Probably the main disadvantage of speaking a mixed language involves a basic function of human language: as soon as you start to speak to someone else, your language serves as an instantly recognizable badge of your ___. It¡¯s much easier for wartime spies to wear the enemy¡¯s uniform than to imitate convincingly the enemy¡¯s language and pronunciation. People who speak your language are your people, whereas someone speaking a different language is apt to be regarded as a potentially dangerous stranger. ","artistic taste, group identity, intellectual power, personal character, educational background ", group identity
"Our craving for ___ is illustrated by a study of religious Israeli women, carried out by anthropologists Richard Sosis and W. Penn Handwerker. During the 2006 Lebanon War the town of Tzfat and its environs in the Galilee region of northern Israel were hit by dozens of rockets daily. Although siren warnings alerted Tzfat residents to protect their own lives by taking refuge in bomb shelters, they could do nothing to protect their houses. Realistically, that threat from the rockets was unpredictable and uncontrollable. Nevertheless, about two-thirds of the women interviewed by Sosis and Handwerker recited psalms every day to cope with the stress of the rocket attacks. When they were asked why they did so, a common reply was that they felt compelled ¡°to do something¡± as opposed to doing nothing at all. Although reciting psalms does not actually deflect rockets, it did provide the women with a sense of control as they took action in their own way. ","knowledge of the future, relief from feeling helpless, exploring the unknown world, being accepted by our peers, freedom from social conventions ",relief from feeling helpless 
"Feedback is usually most effective when you offer it at the earliest opportunity, particularly if your objective is to teach someone a skill. ___, if you are teaching your friend how to make your famous egg rolls, you provide a step-by-step commentary as you watch your pupil. If he makes a mistake, you don¡¯t wait until the egg rolls are finished to tell him that he left out the cabbage. He needs immediate feedback to finish the rest of the sequence successfully. Sometimes, however, if a person is already sensitive and upset about something, delaying feedback can be wise. Use your critical thinking skills to analyze when feedback will do the most good. Rather than automatically offering immediate correction, use the just-in-time approach and provide feedback just before the person might make another mistake.","For example, In addition, Similarly, So, But",For example
"Think of how you developed your style of using the brakes on your car. As you were mastering the skill of taking curves, you gradually learned when to let go of the accelerator and when and how hard to use the brakes. Curves differ, and the variability you experienced while learning ensures that you are now ready to brake at the right time and strength for any curve you encounter. The conditions for learning this skill are ideal, because you receive immediate and unambiguous feedback every time you go around a bend: the mild reward of a comfortable turn or the mild punishment of some difficulty in handling the car if you brake either too hard or not quite hard enough. The situations that face a harbor pilot maneuvering large ships are no less regular, but skill is much more difficult to acquire by sheer experience because of the long delay between actions and their noticeable outcomes. Whether professionals have a chance to develop intuitive expertise depends essentially on ___, as well as on sufficient opportunity to practice.","the ability to control emotions, the assistance from instructors, the discovery of hidden talents, the desire to beat the opponents, the quality and speed of feedback",the quality and speed of feedback
"Feedback is usually most effective when you offer it at the earliest opportunity, particularly if your objective is to teach someone a skill. For example, if you are teaching your friend how to make your famous egg rolls, you provide a step-by-step commentary as you watch your pupil. If he makes a mistake, you don¡¯t wait until the egg rolls are finished to tell him that he left out the cabbage. He needs immediate feedback to finish the rest of the sequence successfully. Sometimes, ___, if a person is already sensitive and upset about something, delaying feedback can be wise. Use your critical thinking skills to analyze when feedback will do the most good. Rather than automatically offering immediate correction, use the just-in-time approach and provide feedback just before the person might make another mistake.","however, as a result, in fact, moreover, therefore",however
"Indeed, confusing people a little bit is beneficial ¡ª it is good for you and good for them. For example, imagine someone extremely punctual who comes home at exactly six o¡¯clock every day for fifteen years. You can use his arrival to set your watch. The fellow will cause his family anxiety if he is barely a few minutes late. Someone with a slightly more ___ schedule, with, say, a half-hour variation, won¡¯t do so. For similar reasons, stability is not good for the economy: firms become very weak during long periods of steady success without failure, and hidden vulnerabilities accumulate silently under the surface ¡ª so delaying crises is not a very good idea. Likewise, absence of ¡®ups and downs¡¯ in the market causes hidden risks to accumulate quietly. The longer one goes without a market trauma, the worse the damage when a real crisis occurs.","restricted, unpredictable, consistent, predictable, unconsistent",unpredictable 
"Indeed, confusing people a little bit is beneficial ¡ª it is good for you and good for them. For example, imagine someone extremely punctual who comes home at exactly six o¡¯clock every day for fifteen years. You can use his arrival to set your watch. The fellow will cause his family anxiety if he is barely a few minutes late. Someone with a slightly more unpredictable schedule, with, say, a half-hour variation, won¡¯t do so. For similar reasons, stability is not good for the economy: firms become very weak during long periods of steady success without failure, and hidden vulnerabilities accumulate silently under the surface ¡ª so delaying crises is not a very good idea. Likewise, ___ of ¡®ups and downs¡¯ in the market causes hidden risks to accumulate quietly. The longer one goes without a market trauma, the worse the damage when a real crisis occurs.","frequency, expectation, absence, duration, experience",absence
"My suggestion is to understand and make use of the changes in people¡¯s strengths and weaknesses as they grow older. We can say that useful attributes tending to decrease with age include ambition, desire to compete, physical strength and endurance, and capacity for sustained mental concentration. ___ useful attributes tending to increase with age include experience of one¡¯s field, understanding of people and relationships, and ability to help other people without one¡¯s own ego getting in the way. These shifts in strengths result in many older workers choosing to devote more of their efforts to supervising, administering, advising, and teaching. For instance my farmer friends in their 80s spend less time on horseback and on tractors, more time making strategic decisions about the business of farming; my older lawyer friends spend less time in court, more time mentoring younger lawyers.","In other words, Additionally, Conversely, For example, But",Conversely 
"My suggestion is to understand and make use of the changes in people¡¯s strengths and weaknesses as they grow older. We can say that useful attributes tending to decrease with age include ambition, desire to compete, physical strength and endurance, and capacity for sustained mental concentration. Conversely useful attributes tending to increase with age include experience of one¡¯s field, understanding of people and relationships, and ability to help other people without one¡¯s own ego getting in the way. These shifts in strengths result in many older workers choosing to devote more of their efforts to supervising, administering, advising, and teaching. ___ my farmer friends in their 80s spend less time on horseback and on tractors, more time making strategic decisions about the business of farming; my older lawyer friends spend less time in court, more time mentoring younger lawyers.","For instance, Instead, In constrast, So, But",For instance
"The idea that artists have a unique message to communicate is only a few hundred years old. For most of European history, artists were considered primarily craftsmen. When a noble contracted with a painter for a work, the contract specified details like the quantities of gold and blue paint to appear in the work, the deadline, and penalties for delays. A contract in 1485 between the painter Domenico Ghirlandaio and a client specified that Ghirlandaio would ¡°colour the panel at his own expense with good colours and with powdered gold on such ornaments as demand it ... and the blue must be ultramarine of the value about four florins per ounce¡±. In some contracts, artists were paid by the time worked rather than a fixed price for the completed work. These contract details show us that art was considered to be a  ___ ¡ª a very different concept of the artist than we hold today.","trade, hobby, symbol, miracle, blessing",trade
